Date;Date;t = t(2)-t(1) Days;adult females without eggs in 1m3;adult females with eggs in 1m3;adult asexual females in 1m3;juveniles in 1m3;number of eggs in 1m3;Total non-sexual females;Eggs/female;Egg/female: corrected to live regession;Live Eggs/female*;r (day-1);mid-date;mid-date;r (day-1)                                        [repeated from M];D (days);b (day-1);d (day-1);r (day-1)                                        [repeated from M];D-t;D/t;data_state
21.11.03;37946;25;2976.7;1090.5;4067.2;1105.2;3625.1;5172.4;0.7;0.91;1.46;0.043;37958;03.12.03;0.043;13.001;0.069;0.026;0.043;-12;0.52;
16.12.03;37971;38;10285.9;1267.3;11553.2;3684.1;3035.7;15237.3;0.2;0.26;0.29;-0.072;37990;04.01.04;-0.072;17.253;;;;;;
23.01.04;38009;12;785.9;127.7;913.6;88.4;226;1002.1;0.23;0.29;0.86;0.047;38015;29.01.04;0.047;19.346;0.032;-0.015;0.047;7.35;1.61;Unreliable
04.02.04;38021;54;1395;206.3;1601.3;167;363.5;1768.3;0.21;0.27;0.54;-0.002;38048;02.03.04;-0.002;18.541;0.023;0.025;-0.002;-35.46;0.34;Unreliable
29.03.04;38075;32;962.8;58.9;1021.7;569.8;393;1591.5;0.25;0.32;5.69;0.073;38091;14.04.04;0.073;12.736;0.149;0.076;0.073;-19.26;0.4;Unreliable
30.04.04;38107;4;7721.8;1002.1;8723.8;7987;9755.4;16710.9;0.58;0.75;2;0.112;38109;02.05.04;0.112;9.528;0.115;0.003;0.112;5.53;2.38;Unreliable
04.05.04;38111;9;18518.5;1964.8;20483.3;5698;11936.3;26181.4;0.46;0.59;1.81;-0.035;38115;08.05.04;-0.035;8.388;0.123;0.158;-0.035;-0.61;0.93;Suspect
13.05.04;38120;22;17487;491.2;17978.2;1178.9;982.4;19157.1;0.05;0.07;0.22;-0.091;38131;24.05.04;-0.091;5.935;0.034;0.125;-0.091;-16.06;0.27;
04.06.04;38142;13;1532.6;550.2;2082.7;510.9;1041.4;2593.6;0.4;0.52;0.47;0.119;38148;10.06.04;0.119;4.811;0.08;-0.039;0.119;-8.19;0.37;
17.06.04;38155;14;6434.8;1326.3;7761.1;4420.9;4764.7;12181.9;0.39;0.51;1.55;0.012;38162;24.06.04;0.012;4.237;0.221;0.21;0.012;-9.76;0.3;
01.07.04;38169;18;7859.3;3094.6;10953.9;3389.3;8055.8;14343.3;0.56;0.73;1.23;-0.105;38178;10.07.04;-0.105;3.791;0.212;0.316;-0.105;-14.21;0.21;
19.07.04;38187;15;1277.1;294.7;1571.9;609.1;609.1;2181;0.28;0.36;0.46;0.034;38194;26.07.04;0.034;3.57;0.107;0.073;0.034;-11.43;0.24;
03.08.04;38202;14;1571.9;746.6;2318.5;1296.8;2711.5;3615.3;0.75;0.97;1.58;-0.045;38209;10.08.04;-0.045;3.516;0.27;0.315;-0.045;-10.48;0.25;
17.08.04;38216;9;638.6;599.3;1237.8;697.5;2141.7;1935.4;1.11;1.43;1.67;0.121;38220;21.08.04;0.121;3.549;0.276;0.155;0.121;-5.45;0.39;
26.08.04;38225;7;2259.6;1768.3;4027.9;1729.1;5501.5;5757;0.96;1.23;1.17;-0.06;38228;29.08.04;-0.06;3.618;0.214;0.275;-0.06;-3.38;0.52;
02.09.04;38232;8;1886.2;766.3;2652.5;1120;1370.5;3772.5;0.36;0.47;0.85;-0.022;38236;06.09.04;-0.022;3.729;0.164;0.186;-0.022;-4.27;0.47;
10.09.04;38240;7;1473.6;736.8;2210.4;957.9;1429.4;3168.3;0.45;0.58;0.62;0.049;38243;13.09.04;0.049;3.863;0.124;0.075;0.049;-3.14;0.55;
17.09.04;38247;11;2490.4;810.5;3300.9;1178.9;1797.8;4479.8;0.4;0.52;0.31;-0.059;38252;22.09.04;-0.059;4.095;0.065;0.124;-0.059;-6.9;0.37;
28.09.04;38258;9;962.8;717.2;1679.9;668;1758.5;2348;0.75;0.97;0.9;0.058;38262;02.10.04;0.058;4.451;0.144;0.086;0.058;-4.55;0.49;
07.10.04;38267;11;1866.6;1208.4;3075;894;4077;3969;1.03;1.33;1.45;0.016;38272;12.10.04;0.016;4.945;0.181;0.166;0.016;-6.06;0.45;
18.10.04;38278;10;1660.3;609.1;2269.4;2446.2;1797.8;4715.6;0.38;0.49;1.29;-0.01;38283;23.10.04;-0.01;5.711;0.145;0.155;-0.01;-4.29;0.57;
28.10.04;38288;20;1709.4;756.5;2465.9;1797.8;1915.7;4263.7;0.45;0.58;1.61;0.045;38298;07.11.04;0.045;7.269;0.132;0.087;0.045;-12.73;0.36;
17.11.04;38308;33;5614.5;1120;6734.5;3846.2;2858.8;10580.6;0.27;0.35;0.85;-0.025;38324;03.12.04;-0.025;12.518;0.049;0.074;-0.025;-20.48;0.38;
20.12.04;38341;360;1886.2;604.2;2490.4;2092.5;1282.1;4583;0.28;0.36;1.48;;38521;18.06.05;;4.054;;;;;;
15.12.05;38701;124;481.4;304.5;785.9;137.5;1002.1;923.5;1.09;;;;38763;15.02.06;;20.678;;;;;;
18.04.06;38825;30;147.4;88.4;235.8;461.7;736.8;697.5;1.06;1.36;1.27;0.128;38840;03.05.06;0.128;9.962;0.082;-0.045;0.128;-20.04;0.33;
18.05.06;38855;28;22251.7;1571.9;23823.6;8154;3045.5;31977.6;0.1;0.12;;-0.037;38869;01.06.06;-0.037;5.215;0.022;0.059;-0.037;-22.78;0.19;
15.06.06;38883;14;4077;1792.9;5869.9;5526.1;8473.3;11396;0.74;0.96;2.25;0.066;38890;22.06.06;0.066;4.182;0.282;0.215;0.066;-9.82;0.3;
29.06.06;38897;12;10138.5;2397.1;12535.6;16229.5;4872.8;28765.1;0.17;0.22;0.28;-0.093;38903;05.07.06;-0.093;3.91;0.064;0.157;-0.093;-8.09;0.33;
11.07.06;38909;14;4401.2;1846.9;6248.2;3183;2986.5;9431.2;0.32;0.41;0.44;-0.026;38916;18.07.06;-0.026;3.7;0.098;0.124;-0.026;-10.3;0.26;
25.07.06;38923;14;2210.4;2004.1;4214.6;2313.6;4376.7;6528.1;0.67;0.87;0.62;-0.079;38930;01.08.06;-0.079;3.563;0.136;0.215;-0.079;-10.44;0.25;
08.08.06;38937;14;510.9;1139.6;1650.5;510.9;2750.8;2161.3;1.27;1.64;0.7;-0.01;38944;15.08.06;-0.01;3.514;0.151;0.161;-0.01;-10.49;0.25;
22.08.06;38951;14;461.7;422.4;884.2;982.4;1896.1;1866.6;1.02;1.31;1.76;-0.003;38958;29.08.06;-0.003;3.55;0.286;0.289;-0.003;-10.45;0.25;
05.09.06;38965;37;356.1;405.2;761.4;1019.3;1878.9;1780.6;1.06;1.36;1.14;0.039;38983;23.09.06;0.039;3.859;0.198;0.159;0.039;-33.14;0.1;
12.10.06;39002;14;1689.8;602.5;2292.3;5291.9;1571.9;7584.2;0.21;0.27;0.34;-0.075;39009;19.10.06;-0.075;4.592;0.065;0.14;-0.075;-9.41;0.33;
26.10.06;39016;21;903.8;379.9;1283.7;1362.3;1034.8;2646;0.39;0.51;0.82;0.071;39026;05.11.06;0.071;5.395;0.111;0.04;0.071;-15.6;0.26;
16.11.06;39037;32;5776.6;1611.2;7387.8;4401.2;2436.4;11789;0.21;0.27;0.26;-0.032;39053;02.12.06;-0.032;7.816;0.03;0.062;-0.032;-24.18;0.24;
18.12.06;39069;99;2305.4;641.8;2947.2;1244.4;1061;4191.6;0.25;0.33;0.59;;39118;05.02.07;;15.132;;;;;;
27.03.07;39168;15;524;278.4;802.3;1440.9;1555.5;2243.2;0.69;0.9;3.85;0.073;39175;03.04.07;0.073;10.571;0.149;0.077;0.073;-4.43;0.7;Suspect
11.04.07;39183;12;1719.2;1792.9;3512.1;3143.7;9455.7;6655.9;1.42;1.84;3.54;0.037;39189;17.04.07;0.037;7.712;0.196;0.159;0.037;-4.29;0.64;
23.04.07;39195;16;5629.2;2092.5;7721.8;2652.5;4951.4;10374.3;0.48;0.62;1.22;0.064;39203;01.05.07;0.064;6.104;0.13;0.066;0.064;-9.9;0.38;
09.05.07;39211;13;11523.7;2505.2;14028.9;15060.4;5393.5;29089.3;0.19;0.24;0.81;-0.09;39217;15.05.07;-0.09;5.038;0.118;0.207;-0.09;-7.96;0.39;
22.05.07;39224;13;3684.1;1797.8;5481.9;3595.6;4391.4;9077.5;0.48;0.63;2.41;0.062;39230;28.05.07;0.062;4.359;0.281;0.219;0.062;-8.64;0.34;
04.06.07;39237;14;11435.3;1621;13056.3;7250.2;2917.8;20306.5;0.14;0.19;0.47;-0.078;39244;11.06.07;-0.078;3.883;0.099;0.176;-0.078;-10.12;0.28;
18.06.07;39251;15;2259.6;2652.5;4912.1;1925.5;9097.2;6837.6;1.33;1.72;1.95;-0.024;39258;25.06.07;-0.024;3.583;0.302;0.326;-0.024;-11.42;0.24;
03.07.07;39266;6;1198.5;1905.9;3104.4;1670.1;7053.7;4774.5;1.48;1.91;3.11;0.156;39269;06.07.07;0.156;3.436;0.411;0.255;0.156;-2.56;0.57;
09.07.07;39272;7;4764.7;3413.9;8178.6;4003.3;10929.4;12181.9;0.9;1.16;3.45;-0.043;39275;12.07.07;-0.043;3.38;0.442;0.485;-0.043;-3.62;0.48;
16.07.07;39279;7;2613.2;1650.5;4263.7;4735.2;6189.2;8998.9;0.69;0.89;2.43;-0.007;39282;19.07.07;-0.007;3.334;0.369;0.376;-0.007;-3.67;0.48;
23.07.07;39286;10;2141.7;2279.2;4420.9;4165.4;4715.6;8586.3;0.55;0.71;1.27;-0.075;39291;28.07.07;-0.075;3.3;0.248;0.323;-0.075;-6.7;0.33;
02.08.07;39296;11;930;1532.6;2462.6;1598.1;2567.4;4060.6;0.63;0.82;0.93;0.007;39301;07.08.07;0.007;3.294;0.2;0.193;0.007;-7.71;0.3;
13.08.07;39307;10;1113.4;1414.7;2528.1;1833.8;3929.7;4361.9;0.9;1.16;1.49;0.095;39312;18.08.07;0.095;3.328;0.274;0.179;0.095;-6.67;0.33;
23.08.07;39317;7;4538.8;1591.5;6130.3;5128.2;3693.9;11258.5;0.33;0.42;0.44;-0.079;39320;26.08.07;-0.079;3.385;0.107;0.186;-0.079;-3.62;0.48;
30.08.07;39324;6;2318.5;1165.8;3484.3;3012.7;3392.6;6497;0.52;0.67;0.76;-0.019;39327;02.09.07;-0.019;3.459;0.163;0.182;-0.019;-2.54;0.58;
05.09.07;39330;6;2370.9;812.1;3183;2606.7;2462.6;5789.7;0.43;0.55;0.52;-0.023;39333;08.09.07;-0.023;3.544;0.118;0.141;-0.023;-2.46;0.59;
11.09.07;39336;7;1873.1;1244.4;3117.5;1938.6;4060.6;5056.2;0.8;1.04;1.22;0.071;39339;14.09.07;0.071;3.651;0.218;0.147;0.071;-3.35;0.52;
18.09.07;39343;22;2298.9;2573.9;4872.8;3458.1;8291.6;8330.9;1;1.29;1.3;-0.066;39354;29.09.07;-0.066;4.057;0.205;0.271;-0.066;-17.94;0.18;
10.10.07;39365;13;733.5;615.6;1349.2;615.6;1833.8;1964.8;0.93;1.21;0.88;0.034;39371;16.10.07;0.034;4.866;0.13;0.096;0.034;-8.13;0.37;
23.10.07;39378;13;982.4;772.8;1755.2;1296.8;3183;3052;1.04;1.35;1.33;0.047;39384;29.10.07;0.047;5.936;0.143;0.095;0.047;-7.06;0.46;
05.11.07;39391;22;1401.6;1034.8;2436.4;3209.2;2921;5645.6;0.52;0.67;1.55;0.042;39402;16.11.07;0.042;9.061;0.103;0.061;0.042;-12.94;0.41;
27.11.07;39413;21;5167.5;4656.6;9824.1;4460.2;14402.2;14284.3;1.01;1.3;2.01;-0.02;39423;07.12.07;-0.02;12.917;0.085;0.106;-0.02;-8.08;0.62;
18.12.07;39434;28;5436;1205.1;6641.1;2672.2;2266.1;9313.3;0.24;0.31;0.51;-0.093;39448;01.01.08;-0.093;16.752;0.024;0.118;-0.093;-11.25;0.6;
15.01.08;39462;72;501;73.7;574.7;108.1;137.5;682.8;0.2;0.26;0.07;;39498;20.02.08;;18.363;;;;;;
27.03.08;39534;28;727;1041.4;1768.3;736.8;7250.2;2505.2;2.89;3.74;2.07;-0.029;39548;10.04.08;-0.029;11.746;0.095;0.124;-0.029;-16.25;0.42;
24.04.08;39562;26;393;393;785.9;334;3762.6;1120;3.36;4.34;1.47;0.109;39575;07.05.08;0.109;6.754;0.134;0.024;0.109;-19.25;0.26;
20.05.08;39588;14;6228.5;3615.3;9843.8;9431.2;18705.2;19275;0.97;1.25;2.12;-0.015;39595;27.05.08;-0.015;4.974;0.229;0.244;-0.015;-9.03;0.36;
03.06.08;39602;16;8134.4;4106.5;12240.9;3340.2;9431.2;15581.1;0.61;0.78;0.97;-0.051;39610;11.06.08;-0.051;4.264;0.159;0.21;-0.051;-11.74;0.27;
19.06.08;39618;12;1192;2907.9;4099.9;2750.8;6759;6850.7;0.99;1.27;1.19;-0.064;39624;25.06.08;-0.064;3.853;0.203;0.268;-0.064;-8.15;0.32;
01.07.08;39630;15;304.5;913.6;1218.2;1945.2;2583.8;3163.4;0.82;1.06;0.85;-0.053;39637;08.07.08;-0.053;3.611;0.17;0.223;-0.053;-11.39;0.24;
16.07.08;39645;13;220.1;408.7;628.7;801.7;1233.9;1430.4;0.86;1.11;0.44;-0.018;39651;22.07.08;-0.018;3.461;0.106;0.124;-0.018;-9.54;0.27;
29.07.08;39658;15;206.3;365.5;571.8;554.1;1485.4;1125.8;1.32;1.7;0.55;0.145;39665;05.08.08;0.145;3.407;0.129;-0.016;0.145;-11.59;0.23;
13.08.08;39673;12;1729.1;2200.6;3929.7;6004.5;7513.5;9934.2;0.76;0.98;1.44;-0.079;39679;19.08.08;-0.079;3.45;0.258;0.337;-0.079;-8.55;0.29;
25.08.08;39685;15;633.7;1547.3;2181;1650.5;5644;3831.4;1.47;1.9;1.3;-0.017;39692;01.09.08;-0.017;3.589;0.232;0.249;-0.017;-11.41;0.24;
09.09.08;39700;14;717.2;1120;1837.1;1149.4;4676.3;2986.5;1.57;2.02;1.28;0.052;39707;16.09.08;0.052;3.884;0.213;0.16;0.052;-10.12;0.28;
23.09.08;39714;15;1444.1;2249.7;3693.9;2505.2;8861.4;6199;1.43;1.85;2.02;0.035;39721;30.09.08;0.035;4.327;0.255;0.22;0.035;-10.67;0.29;
08.10.08;39729;13;2921;1899.3;4820.4;5724.2;5907.6;10544.6;0.56;0.72;1.95;-0.047;39735;14.10.08;-0.047;5.011;0.216;0.263;-0.047;-7.99;0.39;
21.10.08;39742;13;2284.1;1682.4;3966.5;1731.5;5415.6;5698;0.95;1.23;1.45;0.141;39748;27.10.08;0.141;5.995;0.149;0.008;0.141;-7;0.46;
03.11.08;39755;16;10924.5;6876.9;17801.4;17801.4;15325.7;35602.7;0.43;0.56;1.18;-0.063;39763;11.11.08;-0.063;8.294;0.094;0.157;-0.063;-7.71;0.52;
19.11.08;39771;21;6208.9;491.2;6700.1;6208.9;589.4;12908.9;0.05;0.06;0.24;-0.06;39781;29.11.08;-0.06;11.813;0.018;0.078;-0.06;-9.19;0.56;
10.12.08;39792;119;1935.4;1444.1;3379.5;275.1;4430.7;3654.6;1.21;;;;39851;07.02.09;;20.164;;;;;;
08.04.09;39911;14;235.8;110.5;346.3;508.4;758.9;854.7;0.89;1.15;3;0.15;39918;15.04.09;0.15;11.875;0.117;-0.033;0.15;-2.12;0.85;
22.04.09;39925;14;1833.8;943.1;2777;4230.9;6444.6;7007.9;0.92;1.19;1.47;0.093;39932;29.04.09;0.093;8.936;0.101;0.009;0.093;-5.06;0.64;
06.05.09;39939;12;8473.3;1129.8;9603.1;16013.4;3438.5;25616.5;0.13;0.17;0.09;-0.026;39945;12.05.09;-0.026;6.338;0.014;0.04;-0.026;-5.66;0.53;
18.05.09;39951;12;11887.2;3168.3;15055.5;3733.2;7564.6;18788.7;0.4;0.52;0.39;-0.016;39957;24.05.09;-0.016;5.174;0.064;0.079;-0.016;-6.83;0.43;
30.05.09;39963;4;3708.6;6213.8;9922.4;5648.9;19820.2;15571.3;1.27;1.64;;-0.217;39965;01.06.09;-0.217;4.663;0.209;0.426;-0.217;0.66;1.17;Suspect
03.06.09;39967;14;2685.3;1702.9;4388.1;2144.9;3389.3;6533.1;0.52;0.67;0.84;0.033;39974;10.06.09;0.033;4.242;0.144;0.111;0.033;-9.76;0.3;
17.06.09;39981;29;2734.4;3716.8;6451.2;3880.5;9742.3;10331.7;0.94;1.22;1.23;0.008;39995;01.07.09;0.008;3.636;0.221;0.213;0.008;-25.36;0.13;
16.07.09;40010;14;5026.7;4077;9103.7;3896.9;7515.5;13000.6;0.58;0.75;0.97;-0.108;40017;23.07.09;-0.108;3.333;0.203;0.311;-0.108;-10.67;0.24;
30.07.09;40024;14;754.5;1477.6;2232;628.7;3780.3;2860.8;1.32;1.71;1.66;-0.12;40031;06.08.09;-0.12;3.257;0.3;0.421;-0.12;-10.74;0.23;
13.08.09;40038;26;143.7;169.5;313.1;217.4;515.8;530.5;0.97;1.26;1.23;0.05;40051;26.08.09;0.05;3.296;0.243;0.193;0.05;-22.7;0.13;
08.09.09;40064;15;459.8;483.3;943.1;996.2;1957;1939.3;1.01;1.3;1.35;0.055;40071;15.09.09;0.055;3.54;0.241;0.186;0.055;-11.46;0.24;
23.09.09;40079;14;1090.5;1458.9;2549.4;1871.5;5555.6;4420.9;1.26;1.62;1.64;-0.016;40086;30.09.09;-0.016;3.895;0.249;0.266;-0.016;-10.11;0.28;
07.10.09;40093;29;903.8;1139.6;2043.4;1473.6;4391.4;3517;1.25;1.61;1.38;-0.022;40107;21.10.09;-0.022;4.798;0.181;0.202;-0.022;-24.2;0.17;
05.11.09;40122;35;537.9;412.6;950.5;921;1989.4;1871.5;1.06;1.37;1.75;0.049;40139;22.11.09;0.049;9.128;0.111;0.062;0.049;-25.87;0.26;
10.12.09;40157;126;2726.2;1503.1;4229.3;6218.7;9283.8;10448;0.89;1.15;1.28;;40220;11.02.10;;20.774;;;;;;
15.04.10;40283;22;2505.2;245.6;2750.8;2259.6;2014;5010.3;0.4;0.52;2.35;0.085;40294;26.04.10;0.085;11.273;0.107;0.022;0.085;-10.73;0.51;
07.05.10;40305;39;23578;1031.5;24609.5;8252.3;3389.3;32861.8;0.1;0.13;0.14;-0.011;40324;26.05.10;-0.011;5.808;0.023;0.034;-0.011;-33.19;0.15;
15.06.10;40344;29;8350.5;393;8743.5;12427.5;442.1;21171;0.02;0.03;0.33;-0.032;40358;29.06.10;-0.032;3.975;0.071;0.103;-0.032;-25.02;0.14;
14.07.10;40373;27;2515;1846.9;4361.9;3969;6208.9;8330.9;0.75;0.96;1.15;-0.059;40386;27.07.10;-0.059;3.525;0.217;0.275;-0.059;-23.48;0.13;
10.08.10;40400;13;949.7;327.5;1277.1;425.7;1211.6;1702.9;0.71;0.92;0.78;-0.045;40406;16.08.10;-0.045;3.521;0.164;0.209;-0.045;-9.48;0.27;
23.08.10;40413;15;458.5;262;720.4;229.2;1015.2;949.7;1.07;1.38;2.03;0.012;40420;30.08.10;0.012;3.648;0.304;0.292;0.012;-11.35;0.24;
07.09.10;40428;14;270.2;171.9;442.1;687.7;982.4;1129.8;0.87;1.12;1.34;0.018;40435;14.09.10;0.018;3.921;0.217;0.198;0.018;-10.08;0.28;
21.09.10;40442;22;270.2;429.8;700;761.4;3020.9;1461.3;2.07;2.67;2.48;0.049;40453;02.10.10;0.049;4.506;0.277;0.228;0.049;-17.49;0.2;
13.10.10;40464;28;908.7;1277.1;2185.9;2112.2;7097.9;4298.1;1.65;2.13;1.42;0.04;40478;27.10.10;0.04;6.231;0.142;0.102;0.04;-21.77;0.22;
10.11.10;40492;27;4519.1;2102.4;6621.5;6425;5265.7;13046.5;0.4;0.52;0.34;-0.033;40505;23.11.10;-0.033;11.002;0.026;0.059;-0.033;-16;0.41;
07.12.10;40519;121;2567.4;157.2;2724.6;2698.4;235.8;5422.9;0.04;0.06;0.21;;40579;05.02.11;;18.977;;;;;;
07.04.11;40640;28;1842;1129.8;2971.8;4199.8;7171.6;7171.6;1;1.29;1.02;0.044;40654;21.04.11;0.044;10.159;0.069;0.025;0.044;-17.84;0.36;
05.05.11;40668;19;13704.7;687.7;14392.4;10217.1;884.2;24609.5;0.04;0.05;0.03;-0.061;40677;14.05.11;-0.061;5.907;0.005;0.066;-0.061;-13.09;0.31;
24.05.11;40687;23;3684.1;835.1;4519.1;3168.3;2087.6;7687.4;0.27;0.35;0.43;-0.021;40698;04.06.11;-0.021;4.37;0.081;0.102;-0.021;-18.63;0.19;
16.06.11;40710;14;2456;442.1;2898.1;1817.5;1031.5;4715.6;0.22;0.28;0.31;0.028;40717;23.06.11;0.028;3.688;0.074;0.046;0.028;-10.31;0.26;
30.06.11;40724;15;3266.5;736.8;4003.3;3020.9;2210.4;7024.3;0.31;0.41;0.44;-0.047;40731;07.07.11;-0.047;3.438;0.106;0.154;-0.047;-11.56;0.23;
15.07.11;40739;13;1061;1002.1;2063.1;1395;3497.4;3458.1;1.01;1.31;1.16;-0.023;40745;21.07.11;-0.023;3.328;0.232;0.255;-0.023;-9.67;0.26;
28.07.11;40752;19;864.5;412.6;1277.1;1277.1;2613.2;2554.3;1.02;1.32;0.86;0.005;40761;06.08.11;0.005;3.266;0.19;0.185;0.005;-15.73;0.17;
16.08.11;40771;15;1571.9;451.9;2023.8;805.6;1237.8;2829.4;0.44;0.57;0.37;0.014;40778;23.08.11;0.014;3.279;0.096;0.082;0.014;-11.72;0.22;
31.08.11;40786;13;1503.1;1149.4;2652.5;840;3654.6;3492.5;1.05;1.35;0.62;-0.047;40792;06.09.11;-0.047;3.368;0.143;0.19;-0.047;-9.63;0.26;
13.09.11;40799;15;707.3;658.2;1365.6;520.7;2485.5;1886.2;1.32;1.7;1.16;0.077;40806;20.09.11;0.077;3.554;0.217;0.14;0.077;-11.45;0.24;
28.09.11;40814;14;2077.8;1237.8;3315.6;2637.8;4774.5;5953.4;0.8;1.04;1.62;-0.041;40821;05.10.11;-0.041;3.917;0.245;0.287;-0.041;-10.08;0.28;
12.10.11;40828;15;2284.1;235.8;2519.9;810.5;456.8;3330.4;0.14;0.18;0.15;-0.082;40835;19.10.11;-0.082;4.493;0.03;0.113;-0.082;-10.51;0.3;
27.10.11;40843;20;451.9;127.7;579.6;393;638.6;972.6;0.66;0.85;0.95;0.069;40853;06.11.11;0.069;5.634;0.118;0.05;0.069;-14.37;0.28;
16.11.11;40863;22;805.6;1021.7;1827.3;2014;5540.8;3841.2;1.44;1.86;1.82;0.059;40874;27.11.11;0.059;8.359;0.124;0.065;0.059;-13.64;0.38;
08.12.11;40885;111;6091;442.1;6533.1;7540;908.7;14073.1;0.06;0.08;0.09;;40940;01.02.12;;16.328;;;;;;
28.03.12;40996;20;26.2;45.8;72;65.5;222.7;137.5;1.62;2.09;2.93;0.131;41006;07.04.12;0.131;12.572;0.109;-0.022;0.131;-7.43;0.63;
17.04.12;41016;23;692.6;353.7;1046.3;854.7;3905.1;1901;2.05;2.65;3.51;0.064;41027;28.04.12;0.064;8.8;0.171;0.107;0.064;-14.2;0.38;
10.05.12;41039;28;3364.8;982.4;4347.2;3929.7;4519.1;8276.8;0.55;0.71;;0.002;41053;24.05.12;0.002;5.422;0.098;0.096;0.002;-22.58;0.19;
07.06.12;41067;13;3647.2;736.8;4384;4457.7;1584.1;8841.7;0.18;0.23;0.28;-0.079;41073;13.06.12;-0.079;4.372;0.056;0.136;-0.079;-8.63;0.34;
20.06.12;41080;22;1679.9;304.5;1984.5;1169.1;451.9;3153.6;0.14;0.19;0.29;0.006;41091;01.07.12;0.006;3.846;0.066;0.06;0.006;-18.15;0.17;
12.07.12;41102;21;903.8;1041.4;1945.2;1679.9;2426.6;3625.1;0.67;0.86;0.88;0.003;41112;22.07.12;0.003;3.541;0.178;0.175;0.003;-17.46;0.17;
02.08.12;41123;12;844.9;1679.9;2524.8;1355.7;7603.9;3880.5;1.96;2.53;2.34;0.001;41129;08.08.12;0.001;3.467;0.348;0.347;0.001;-8.53;0.29;
14.08.12;41135;23;844.9;422.4;1267.3;2672.2;1630.8;3939.5;0.41;0.53;0.41;-0.064;41146;25.08.12;-0.064;3.526;0.097;0.16;-0.064;-19.47;0.15;
06.09.12;41158;14;668;78.6;746.6;167;147.4;913.6;0.16;0.21;0.08;0.016;41165;13.09.12;0.016;3.771;0.021;0.004;0.016;-10.23;0.27;
20.09.12;41172;13;461.7;265.3;727;422.4;1345.9;1149.4;1.17;1.51;2.14;0.09;41178;26.09.12;0.09;4.091;0.28;0.19;0.09;-8.91;0.31;
03.10.12;41185;37;1385.2;751.5;2136.8;1547.3;3242;3684.1;0.88;1.14;1.59;0.017;41203;21.10.12;0.017;5.267;0.181;0.164;0.017;-31.73;0.14;
09.11.12;41222;40;3379.51;1178.9;4558.4;2279.2;1925.53;6837.6;0.28;0.36;0.32;-0.047;41242;29.11.12;-0.047;10.706;0.026;0.073;-0.047;-29.29;0.27;
19.12.12;41262;21;722.07;58.94;781.02;265.3;294.72;1046.3;0.28;0.36;1.03;0.006;41272;29.12.12;0.006;15.522;0.046;0.039;0.006;-5.48;0.74;
09.01.13;41283;37;602.55;137.54;740.09;451.9;491.21;1192;0.41;0.53;0.72;-0.060367357;41301;27.01.13;-0.06;18.632;0.029;0.089;-0.06;-18.37;0.5;
15.02.13;41320;17;78.59;0;78.59;49.1;0;127.7;0;0;3.25;-0.11010601;41328;23.02.13;-0.11;19.544;0.074;0.184;-0.11;2.54;1.15;Unreliable
04.03.13;41337;39;19.65;0;19.65;0;0;19.6;0;0;5.27;0.070688214;41356;23.03.13;0.071;18.15;0.101;0.03;0.071;-20.85;0.47;
12.04.13;41376;12;265.25;29.47;294.72;14.7;206.31;309.5;0.67;0.86;4.65;0.103828084;41382;18.04.13;0.104;14.54;0.119;0.015;0.104;2.54;1.21;Unreliable
24.04.13;41388;13;515.77;132.63;648.39;427.4;1046.27;1075.7;0.97;1.26;5.55;0.167479945;41394;30.04.13;0.167;12.382;0.152;-0.016;0.167;-0.62;0.95;
07.05.13;41401;7;3595.64;2220.26;5815.9;3674.2;10413.6;9490.1;1.1;1.42;1.48;0.051727859;41404;10.05.13;0.052;10.446;0.087;0.035;0.052;3.45;1.49;Unreliable
14.05.13;41408;34;6041.85;2210.43;8252.28;5378.7;7662.84;13631;0.56;0.73;1.46;-0.026372493;41425;31.05.13;-0.026;6.448;0.14;0.166;-0.026;-27.55;0.19;
17.06.13;41442;14;2416.74;471.56;2888.3;2672.2;1689.75;5560.5;0.3;0.39;0.51;0.012579901;41449;24.06.13;0.013;4.618;0.089;0.077;0.013;-9.38;0.33;
01.07.13;41456;15;3782.3;122.8;3905.1;2726.2;122.8;6631.3;0.02;0.02;1.07;-0.04690478;41463;08.07.13;-0.047;4.082;0.178;0.225;-0.047;-10.92;0.27;
16.07.13;41471;22;1650.46;137.54;1787.99;1493.3;0;3281.3;0;0;0.49;0.06142075;41482;27.07.13;0.061;3.673;0.109;0.048;0.061;-18.33;0.17;
07.08.13;41493;14;5943.61;1326.26;7269.87;5403.3;3782.3;12673.2;0.3;0.39;0.34;-0.075463487;41500;14.08.13;-0.075;3.525;0.084;0.159;-0.075;-10.47;0.25;
21.08.13;41507;13;1827.29;928.38;2755.67;1650.5;4391.39;4406.1;1;1.29;0.84;-0.031189624;41513;27.08.13;-0.031;3.55;0.172;0.203;-0.031;-9.45;0.27;
03.09.13;41520;14;1404.85;432.26;1837.12;1100.3;1856.76;2937.4;0.63;0.82;0.65;0.046709033;41527;10.09.13;0.047;3.713;0.135;0.088;0.047;-10.29;0.27;
17.09.13;41534;20;4283.33;225.96;4509.28;1139.6;579.62;5648.9;0.1;0.13;0.36;-0.007947238;41544;27.09.13;-0.008;4.113;0.075;0.083;-0.008;-15.89;0.21;
